epoch,accuracy,loss,val_accuracy,val_loss
0,0.5319571495056152,0.6828018426895142,0.6791666746139526,0.5745778679847717
1,0.7276856899261475,0.5178080797195435,0.746666669845581,0.4884241819381714
2,0.7552428841590881,0.4741555154323578,0.7691666483879089,0.45176243782043457
3,0.7760999798774719,0.43871009349823,0.7797333598136902,0.4255604147911072
4,0.8004428744316101,0.39978837966918945,0.8036999702453613,0.39157330989837646
5,0.8160285949707031,0.37875357270240784,0.7960000038146973,0.408831924200058
6,0.8319428563117981,0.3528805375099182,0.8521333336830139,0.32098388671875
7,0.8542428612709045,0.3153328597545624,0.8592666387557983,0.30270281434059143
8,0.8641856908798218,0.296993613243103,0.8660333156585693,0.2991715371608734
9,0.8687428832054138,0.2856146991252899,0.8657333254814148,0.28590336441993713
10,0.8747714161872864,0.2713206112384796,0.8828666806221008,0.2572563886642456
11,0.8828142881393433,0.2576577365398407,0.883400022983551,0.2531530261039734
12,0.8848999738693237,0.250003457069397,0.8847333192825317,0.24822509288787842
13,0.8810856938362122,0.253028929233551,0.8878666758537292,0.24624396860599518
14,0.8861142992973328,0.24330317974090576,0.8828333616256714,0.24697616696357727
15,0.8895285725593567,0.23628024756908417,0.8887333273887634,0.23403006792068481
16,0.8839285969734192,0.24282017350196838,0.8830999732017517,0.24109557271003723
17,0.8921999931335449,0.22924959659576416,0.8805333375930786,0.243656188249588
18,0.8969285488128662,0.21882522106170654,0.8995333313941956,0.21432197093963623
19,0.8988142609596252,0.21761298179626465,0.8997666835784912,0.21417507529258728
20,0.8946428298950195,0.22141903638839722,0.901533305644989,0.20965704321861267
21,0.9007999897003174,0.20850783586502075,0.9043333530426025,0.2036644071340561
22,0.9024142622947693,0.20592868328094482,0.904533326625824,0.20247359573841095
23,0.9030571579933167,0.20429666340351105,0.8914333581924438,0.22363927960395813
24,0.8977000117301941,0.2137952595949173,0.9078666567802429,0.19699285924434662
25,0.8980571627616882,0.2142297774553299,0.908133327960968,0.19476690888404846
26,0.9025428295135498,0.20449674129486084,0.9035999774932861,0.205403134226799
27,0.900942862033844,0.20677189528942108,0.8777999877929688,0.25051674246788025
28,0.9001713991165161,0.20624138414859772,0.9092666506767273,0.19286757707595825
29,0.9091571569442749,0.1903201937675476,0.9080666899681091,0.19351252913475037
30,0.9052143096923828,0.19741469621658325,0.911133348941803,0.1879049688577652
31,0.9020428657531738,0.20319582521915436,0.9011333584785461,0.2086680382490158
32,0.908128559589386,0.19338469207286835,0.8982666730880737,0.21175076067447662
33,0.9076428413391113,0.19262506067752838,0.9085333347320557,0.19191358983516693
34,0.9124143123626709,0.18345223367214203,0.9149666428565979,0.18326832354068756
35,0.9105857014656067,0.18614035844802856,0.9113666415214539,0.18690797686576843
36,0.9102143049240112,0.18727222084999084,0.9153666496276855,0.18193887174129486
37,0.9156143069267273,0.17778654396533966,0.9053000211715698,0.19459432363510132
38,0.9154428839683533,0.17693538963794708,0.9154333472251892,0.1783762276172638
39,0.9168142676353455,0.1747601330280304,0.9189666509628296,0.17593152821063995
40,0.911899983882904,0.18345820903778076,0.9199333190917969,0.17250671982765198
41,0.9200000166893005,0.16945447027683258,0.9147666692733765,0.1798529028892517
42,0.916271448135376,0.17528411746025085,0.9179999828338623,0.17398497462272644
43,0.9214000105857849,0.16641470789909363,0.9151999950408936,0.18045087158679962
44,0.9185857176780701,0.1721281260251999,0.91839998960495,0.17273175716400146
45,0.9222428798675537,0.16401848196983337,0.9222999811172485,0.17196495831012726
46,0.9212999939918518,0.16589507460594177,0.9172000288963318,0.1760120838880539
47,0.9217714071273804,0.1638682633638382,0.9258333444595337,0.1588234156370163
48,0.9251571297645569,0.15887948870658875,0.9175999760627747,0.1745476871728897
49,0.9222999811172485,0.1633138656616211,0.9233666658401489,0.16345660388469696
50,0.9226571321487427,0.1617823839187622,0.9256333112716675,0.15989695489406586
